2018-06-19 13:40:28 	 [DEBUG] 	 <client.go:83>  	 EOFconnect offline
2018-06-19 13:40:28 	 [DEBUG] 	 <client.go:148>  	 close client:10002, 80d07eb7-09d5-4332-aa4d-01990a291dfd
2018-06-19 13:40:28 	 [DEBUG] 	 <client.go:112>  	 client: 80d07eb7-09d5-4332-aa4d-01990a291dfd 10002 socket closed
2018-06-19 13:42:21 	 [DEBUG] 	 <tcp.go:32>  	 新连接地址为:[192.168.31.82:52125]
2018-06-19 13:42:21 	 [DEBUG] 	 <client_im.go:90>  	 offlineMsg count 0
2018-06-19 13:42:50 	 [DEBUG] 	 <protocol.go:134>  	 sock read error:EOF
2018-06-19 13:42:50 	 [DEBUG] 	 <client.go:83>  	 EOFconnect offline
2018-06-19 13:42:50 	 [DEBUG] 	 <client.go:148>  	 close client:10002, 80d07eb7-09d5-4332-aa4d-01990a291dfd
2018-06-19 13:42:50 	 [DEBUG] 	 <client.go:112>  	 client: 80d07eb7-09d5-4332-aa4d-01990a291dfd 10002 socket closed
2018-06-19 13:44:21 	 [DEBUG] 	 <tcp.go:32>  	 新连接地址为:[192.168.31.82:52172]
2018-06-19 13:44:21 	 [DEBUG] 	 <client_im.go:90>  	 offlineMsg count 0
2018-06-19 13:44:51 	 [DEBUG] 	 <protocol.go:134>  	 sock read error:EOF
2018-06-19 13:44:51 	 [DEBUG] 	 <client.go:83>  	 EOFconnect offline
2018-06-19 13:44:51 	 [DEBUG] 	 <client.go:148>  	 close client:10002, 80d07eb7-09d5-4332-aa4d-01990a291dfd
2018-06-19 13:44:51 	 [DEBUG] 	 <client.go:112>  	 client: 80d07eb7-09d5-4332-aa4d-01990a291dfd 10002 socket closed
2018-06-19 13:47:43 	 [DEBUG] 	 <tcp.go:32>  	 新连接地址为:[192.168.31.82:52182]
2018-06-19 13:47:43 	 [DEBUG] 	 <client_im.go:90>  	 offlineMsg count 0
2018-06-19 13:47:58 	 [DEBUG] 	 <protocol.go:134>  	 sock read error:EOF
2018-06-19 13:47:58 	 [DEBUG] 	 <client.go:83>  	 EOFconnect offline
2018-06-19 13:47:58 	 [DEBUG] 	 <client.go:148>  	 close client:10002, 80d07eb7-09d5-4332-aa4d-01990a291dfd
2018-06-19 13:47:58 	 [DEBUG] 	 <client.go:112>  	 client: 80d07eb7-09d5-4332-aa4d-01990a291dfd 10002 socket closed
