2018-06-18 01:14:01 	 [DEBUG] 	 <client_im.go:90>  	 offlineMsg count 0
2018-06-18 01:16:02 	 [DEBUG] 	 <client_heartbeat.go:9>  	 heartBeet
2018-06-18 01:18:03 	 [DEBUG] 	 <client_heartbeat.go:9>  	 heartBeet
2018-06-18 01:19:46 	 [DEBUG] 	 <protocol.go:134>  	 sock read error:EOF
2018-06-18 01:19:46 	 [DEBUG] 	 <client.go:83>  	 EOFconnect offline
2018-06-18 01:19:46 	 [DEBUG] 	 <client.go:148>  	 close client:10002, 80d07eb7-09d5-4332-aa4d-01990a291dfd
2018-06-18 01:19:46 	 [DEBUG] 	 <client.go:112>  	 client: 80d07eb7-09d5-4332-aa4d-01990a291dfd 10002 socket closed
2018-06-18 01:19:52 	 [DEBUG] 	 <tcp.go:32>  	 新连接地址为:[192.168.31.41:64693]
2018-06-18 01:19:52 	 [DEBUG] 	 <client_im.go:90>  	 offlineMsg count 0
2018-06-18 01:21:20 	 [DEBUG] 	 <protocol.go:134>  	 sock read error:EOF
2018-06-18 01:21:20 	 [DEBUG] 	 <client.go:83>  	 EOFconnect offline
2018-06-18 01:21:20 	 [DEBUG] 	 <client.go:148>  	 close client:10002, 80d07eb7-09d5-4332-aa4d-01990a291dfd
2018-06-18 01:21:20 	 [DEBUG] 	 <client.go:112>  	 client: 80d07eb7-09d5-4332-aa4d-01990a291dfd 10002 socket closed
2018-06-18 01:21:26 	 [DEBUG] 	 <tcp.go:32>  	 新连接地址为:[192.168.31.41:64776]
2018-06-18 01:21:26 	 [DEBUG] 	 <client_im.go:90>  	 offlineMsg count 0
2018-06-18 01:21:33 	 [DEBUG] 	 <protocol.go:134>  	 sock read error:EOF
