2018-06-10 00:31:22 	 [DEBUG] 	 <client.go:112>  	 client: 80d07eb7-09d5-4332-aa4d-01990a291dfd 10002 socket closed
2018-06-10 00:31:23 	 [DEBUG] 	 <tcp.go:32>  	 新连接地址为:[192.168.31.41:51694]
2018-06-10 00:31:23 	 [DEBUG] 	 <client_im.go:88>  	 offlineMsg count 0
2018-06-10 00:31:24 	 [DEBUG] 	 <protocol.go:134>  	 sock read error:EOF
2018-06-10 00:31:24 	 [DEBUG] 	 <client.go:83>  	 EOFconnect offline
2018-06-10 00:31:24 	 [DEBUG] 	 <client.go:148>  	 close client:10002, 80d07eb7-09d5-4332-aa4d-01990a291dfd
2018-06-10 00:31:24 	 [DEBUG] 	 <client.go:112>  	 client: 80d07eb7-09d5-4332-aa4d-01990a291dfd 10002 socket closed
2018-06-10 00:31:34 	 [DEBUG] 	 <tcp.go:32>  	 新连接地址为:[192.168.31.41:51695]
2018-06-10 00:31:34 	 [DEBUG] 	 <client_im.go:88>  	 offlineMsg count 0
2018-06-10 00:31:38 	 [DEBUG] 	 <protocol.go:134>  	 sock read error:EOF
2018-06-10 00:31:38 	 [DEBUG] 	 <client.go:83>  	 EOFconnect offline
2018-06-10 00:31:38 	 [DEBUG] 	 <client.go:148>  	 close client:10002, 80d07eb7-09d5-4332-aa4d-01990a291dfd
2018-06-10 00:31:38 	 [DEBUG] 	 <client.go:112>  	 client: 80d07eb7-09d5-4332-aa4d-01990a291dfd 10002 socket closed
2018-06-10 00:31:44 	 [DEBUG] 	 <tcp.go:32>  	 新连接地址为:[192.168.31.41:51696]
2018-06-10 00:31:44 	 [DEBUG] 	 <client_im.go:88>  	 offlineMsg count 0
2018-06-10 00:31:52 	 [DEBUG] 	 <tcp.go:32>  	 新连接地址为:[127.0.0.1:58106]
2018-06-10 00:31:52 	 [DEBUG] 	 <client_heartbeat.go:9>  	 heartBeet
2018-06-10 00:31:52 	 [DEBUG] 	 <client_im.go:88>  	 offlineMsg count 25
2018-06-10 00:31:52 	 [DEBUG] 	 <client_im.go:102>  	 offline msg :sender:10002,receiver:10001,timestamp:1528558627,msgId:504,body:{"ack_msgId":435,"ack_uuid":"86F67807-5E11-44B5-A8B3-E49189AB16B1","receiver_id":"","sender_id":"80d07eb7-09d5-4332-aa4d-01990a291dfd","sequeneceId":0,"status":2,"type":20,"uuid":"92810025-5859-485C-874C-3716AB880042"}
2018-06-10 00:31:52 	 [DEBUG] 	 <client_im.go:102>  	 offline msg :sender:10002,receiver:10001,timestamp:1528558627,msgId:506,body:{"ack_msgId":437,"ack_uuid":"2B3E46D8-6B0D-4AE1-BE1A-FED7F830031A","receiver_id":"","sender_id":"80d07eb7-09d5-4332-aa4d-01990a291dfd","sequeneceId":0,"status":2,"type":20,"uuid":"3F2CD41D-756E-4D42-BFA3-AE0E54472566"}
2018-06-10 00:31:52 	 [DEBUG] 	 <client_im.go:102>  	 offline msg :sender:10002,receiver:10001,timestamp:1528558627,msgId:507,body:{"ack_msgId":438,"ack_uuid":"139B9853-EBAD-4161-BBDE-01382AE6E6FC","receiver_id":"","sender_id":"80d07eb7-09d5-4332-aa4d-01990a291dfd","sequeneceId":0,"status":2,"type":20,"uuid":"4731EFF8-525D-4F92-B936-4099F5A6D074"}
